Company Name,Industry,Symbol,Series,ISIN Code,Detailed_Indices
Shree Cement Ltd.,Construction Materials,SHREECEM.NS,EQ,INE070A01015,NIFTY 200 Only
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS,EQ,INE721A01047,NIFTY 50
Siemens Energy India Ltd.,Capital Goods,ENRIN.NS,EQ,INE1NPP01017,NIFTY 200 Only
Siemens Ltd.,Capital Goods,SIEMENS.NS,EQ,INE003A01024,NIFTY 200 Only
Solar Industries India Ltd.,Chemicals,SOLARINDS.NS,EQ,INE343H01029,NIFTY 200 Only
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS,EQ,INE073K01018,NIFTY 200 Only
State Bank of India,Financial Services,SBIN.NS,EQ,INE062A01020,"NIFTY 50, NIFTY BANK"
Steel Authority of India Ltd.,Metals & Mining,SAIL.NS,EQ,INE114A01011,NIFTY 200 Only
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS,EQ,INE044A01036,"NIFTY 50, NIFTY PHARMA"
Supreme Industries Ltd.,Capital Goods,SUPREMEIND.NS,EQ,INE195A01028,NIFTY 200 Only
Suzlon Energy Ltd.,Capital Goods,SUZLON.NS,EQ,INE040H01021,NIFTY 200 Only
Swiggy Ltd.,Consumer Services,SWIGGY.NS,EQ,INE00H001014,NIFTY 200 Only
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS,EQ,INE494B01023,NIFTY 200 Only
Tata Communications Ltd.,Telecommunication,TATACOMM.NS,EQ,INE151A01013,NIFTY 200 Only
Tata Consultancy Services Ltd.,Information Technology,TCS.NS,EQ,INE467B01029,"NIFTY 50, NIFTY IT"
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS,EQ,INE192A01025,"NIFTY 50, NIFTY FMCG"
Tata Elxsi Ltd.,Information Technology,TATAELXSI.NS,EQ,INE670A01012,NIFTY 200 Only
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV.NS,EQ,INE155A01022,NIFTY 50
Tata Power Co. Ltd.,Power,TATAPOWER.NS,EQ,INE245A01021,NIFTY 200 Only
Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS,EQ,INE081A01020,NIFTY 50
Tata Technologies Ltd.,Information Technology,TATATECH.NS,EQ,INE142M01025,NIFTY 200 Only
Tech Mahindra Ltd.,Information Technology,TECHM.NS,EQ,INE669C01036,"NIFTY 50, NIFTY IT"
Titan Company Ltd.,Consumer Durables,TITAN.NS,EQ,INE280A01028,NIFTY 50
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM.NS,EQ,INE685A01028,NIFTY PHARMA
Torrent Power Ltd.,Power,TORNTPOWER.NS,EQ,INE813H01021,NIFTY 200 Only
Trent Ltd.,Consumer Services,TRENT.NS,EQ,INE849A01020,NIFTY 50
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA.NS,EQ,INE974X01010,NIFTY 200 Only
UPL Ltd.,Chemicals,UPL.NS,EQ,INE628A01036,NIFTY 200 Only
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS,EQ,INE481G01011,NIFTY 50
Union Bank of India,Financial Services,UNIONBANK.NS,EQ,INE692A01016,NIFTY BANK
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR.NS,EQ,INE854D01024,NIFTY FMCG
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS,EQ,INE200M01039,NIFTY FMCG
Vedanta Ltd.,Metals & Mining,VEDL.NS,EQ,INE205A01025,NIFTY 200 Only
Vishal Mega Mart Ltd.,Consumer Services,VMM.NS,EQ,INE01EA01019,NIFTY 200 Only
Vodafone Idea Ltd.,Telecommunication,IDEA.NS,EQ,INE669E01016,NIFTY 200 Only
Voltas Ltd.,Consumer Durables,VOLTAS.NS,EQ,INE226A01021,NIFTY 200 Only
Waaree Energies Ltd.,Capital Goods,WAAREEENER.NS,EQ,INE377N01017,NIFTY 200 Only
Wipro Ltd.,Information Technology,WIPRO.NS,EQ,INE075A01022,"NIFTY 50, NIFTY IT"
Yes Bank Ltd.,Financial Services,YESBANK.NS,EQ,INE528G01035,NIFTY BANK
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE.NS,EQ,INE010B01027,NIFTY PHARMA
